3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,111,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310250LAC.html,Away,123,5:18,0,0.0,LAC,Paul George,Nicolas Batum,9:08,Kobe Brown,5:18,Moussa Diabaté,4:02,Amir Coffey,3:56,Jordan Miller,3:56,,,31:38,Russell Westbrook,28:48,Kawhi Leonard,28:43,Ivica Zubac,25:36,Robert Covington,23:10,Norman Powell,22:54,Bones Hyland,21:45,Mason Plumlee,17:31,KJ Martin,13:35,123,0,0,0.0,,0.0,,0.0,,Kris Murray,12,0,2023-2024,0.0,0,1.0,POR,111,Scoot Henderson,Jabari Walker,6:21,Rayan Rupert,1:50,,,,,,,,,35:50,Jerami Grant,29:57,Shaedon Sharpe,28:29,Anfernee Simons,27:22,Robert Williams,23:13,Deandre Ayton,23:05,Malcolm Brogdon,22:39,Matisse Thybulle,20:05,Toumani Camara,15:51
0,.000,1,100.000,0,,98,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310290PHI.html,Away,126,5:47,0,,PHI,Tobias Harris,Jaden Springer,7:36,Furkan Korkmaz,2:41,Filip Petrušev,2:41,Mo Bamba,1:32,,,,,37:44,Tyrese Maxey,34:43,De'Anthony Melton,30:33,Joel Embiid,29:25,Kelly Oubre Jr.,25:45,Patrick Beverley,20:26,P.J. Tucker,19:34,Paul Reed,17:03,Danuel House Jr.,10:16,126,1,0,0.0,,0.0,,0.0,,Kris Murray,28,1,2023-2024,1.0,0,0.0,POR,98,Shaedon Sharpe,Skylar Mays,4:39,Rayan Rupert,4:39,,,,,,,,,35:38,Jerami Grant,27:54,Toumani Camara,27:40,Scoot Henderson,26:30,Malcolm Brogdon,25:51,Robert Williams,25:42,Jabari Walker,24:24,Deandre Ayton,20:37,Matisse Thybulle,10:39
0,,0,0.000,0,,118,1,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311080SAC.html,Away,121,9:06,0,,SAC,Domantas Sabonis,Chris Duarte,10:48,,,,,,,,,,,39:39,Kevin Huerter,39:24,Harrison Barnes,35:55,Keegan Murray,31:12,Malik Monk,29:52,Davion Mitchell,27:30,Keon Ellis,21:16,Kessler Edwards,16:14,Alex Len,13:08,121,1,0,0.0,,0.0,,0.0,,Kris Murray,3,0,2023-2024,1.0,0,0.0,POR,118,Jerami Grant,Malcolm Brogdon,5:03,,,,,,,,,,,45:45,Deandre Ayton,41:16,Shaedon Sharpe,39:58,Skylar Mays,36:58,Matisse Thybulle,33:48,Toumani Camara,25:21,Jabari Walker,14:41,Justin Minaya,7:35,Moses Brown,5:27
0,,0,,0,,110,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311120LAL.html,Away,116,3:00,0,,LAL,Anthony Davis,,,,,,,,,,,,,41:00,Cam Reddish,37:52,Taurean Prince,33:10,Rui Hachimura,32:58,D'Angelo Russell,31:53,Austin Reaves,28:28,Christian Wood,15:02,Max Christie,12:37,Jaxson Hayes,7:00,116,1,0,0.0,,0.0,,0.0,,Kris Murray,6,0,2023-2024,0.0,0,0.0,POR,110,Shaedon Sharpe,,,,,,,,,,,,,42:11,Jerami Grant,40:47,Deandre Ayton,33:56,Skylar Mays,32:41,Toumani Camara,23:30,Matisse Thybulle,19:55,Jabari Walker,17:34,Duop Reath,14:04,Jamaree Bouyea,12:22
0,,0,,0,,99,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311140UTA.html,Away,115,2:34,0,,UTA,Jordan Clarkson,Kris Dunn,0:41,Luka Šamanić,0:41,Omer Yurtseven,0:41,,,,,,,33:16,John Collins,32:13,Lauri Markkanen,31:06,Collin Sexton,28:11,Keyonte George,26:20,Ochai Agbaji,25:51,Kelly Olynyk,23:53,Talen Horton-Tucker,20:59,Simone Fontecchio,16:08,115,0,0,0.0,,0.0,,0.0,,Kris Murray,16,0,2023-2024,0.0,0,0.0,POR,99,Shaedon Sharpe,Rayan Rupert,2:34,Justin Minaya,2:34,Ish Wainright,2:34,,,,,,,40:59,Deandre Ayton,34:28,Skylar Mays,31:12,Jerami Grant,27:21,Toumani Camara,25:38,Matisse Thybulle,22:04,Jabari Walker,21:27,Jamaree Bouyea,16:48,Duop Reath,9:47
1,.333,3,60.000,3,,109,0,2,100.0,2,.400,1.0,50.0,2.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311150POR.html,Home,95,17:20,0,0.0,CLE,Max Strus,Damian Jones,1:30,Sam Merrill,1:30,Tristan Thompson,1:30,,,,,,,36:42,Donovan Mitchell,36:20,Evan Mobley,35:22,Caris LeVert,33:02,Dean Wade,32:41,Jarrett Allen,29:08,Georges Niang,21:38,Craig Porter Jr.,9:07,Emoni Bates,1:30,109,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Kris Murray,14,1,2023-2024,1.0,0,2.0,POR,95,Jerami Grant,Justin Minaya,2:32,Rayan Rupert,2:32,Ish Wainright,2:32,,,,,,,32:28,Skylar Mays,30:51,Shaedon Sharpe,26:42,Deandre Ayton,25:48,Matisse Thybulle,25:43,Jabari Walker,22:51,Toumani Camara,21:41,Duop Reath,19:40,Jamaree Bouyea,9:20
0,.000,2,100.000,0,,107,0,0,0.0,0,.000,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311170POR.html,Home,95,5:29,1,100.0,LAL,Taurean Prince,Max Christie,1:11,Maxwell Lewis,1:11,,,,,,,,,35:05,Anthony Davis,34:46,LeBron James,34:32,Cam Reddish,30:35,D'Angelo Russell,28:50,Rui Hachimura,27:40,Christian Wood,19:54,Austin Reaves,17:59,Jaxson Hayes,8:16,107,1,0,0.0,,0.0,,0.0,,Kris Murray,12,1,2023-2024,1.0,0,1.0,POR,95,Jerami Grant,Jamaree Bouyea,1:11,,,,,,,,,,,39:32,Shaedon Sharpe,38:01,Deandre Ayton,37:48,Toumani Camara,35:52,Skylar Mays,25:31,Matisse Thybulle,23:38,Jabari Walker,18:10,Duop Reath,10:12,Justin Minaya,4:36
1,.500,2,50.000,0,0.00,134,0,1,50.0,2,.500,1.0,50.0,2.0,4,3,.750,4,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311190POR.html,Home,91,20:55,1,50.0,OKC,Tre Mann,Isaiah Joe,14:13,Dāvis Bertāns,10:41,Olivier Sarr,10:08,Aleksej Pokusevski,8:43,Kenrich Williams,7:48,Vasilije Micić,6:19,23:44,Josh Giddey,22:36,Luguentz Dort,22:32,Shai Gilgeous-Alexander,22:31,Cason Wallace,20:50,Chet Holmgren,20:03,Jaylin Williams,17:49,Aaron Wiggins,16:08,Lindy Waters III,15:53,134,3,8,2.0,25.0,3.0,37.5,3.0,37.5,Kris Murray,43,1,2023-2024,1.0,1,2.0,POR,91,Jerami Grant,Duop Reath,12:01,Rayan Rupert,12:00,Moses Brown,7:13,,,,,,,27:26,Skylar Mays,26:19,Deandre Ayton,24:10,Shaedon Sharpe,24:04,Jabari Walker,22:23,Matisse Thybulle,19:25,Jamaree Bouyea,15:53,Toumani Camara,14:59,Justin Minaya,13:12
1,1.000,1,50.000,0,,107,0,0,,1,.500,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311210PHO.html,Away,120,1:39,0,,PHO,Kevin Durant,Chimezie Metu,5:44,Jordan Goodwin,4:54,,,,,,,,,37:14,Eric Gordon,36:03,Grayson Allen,35:05,Devin Booker,33:26,Jusuf Nurkić,29:13,Nassir Little,22:10,Drew Eubanks,13:03,Josh Okogie,13:01,Keita Bates-Diop,10:05,120,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Kris Murray,13,0,2023-2024,0.0,0,0.0,POR,107,Toumani Camara,Jamaree Bouyea,1:39,Moses Brown,1:39,Rayan Rupert,1:39,,,,,,,38:34,Jerami Grant,36:28,Shaedon Sharpe,32:19,Deandre Ayton,30:46,Malcolm Brogdon,24:54,Matisse Thybulle,22:08,Skylar Mays,21:27,Jabari Walker,14:08,Duop Reath,12:39
0,.000,3,60.000,0,,105,0,0,0.0,1,.200,1.0,50.0,2.0,5,0,.000,1,20.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311220POR.html,Home,121,17:20,2,100.0,UTA,Lauri Markkanen,Collin Sexton,11:14,Kris Dunn,4:48,,,,,,,,,33:39,Keyonte George,33:39,Jordan Clarkson,32:14,Kelly Olynyk,32:14,John Collins,32:14,Simone Fontecchio,15:46,Omer Yurtseven,15:46,Talen Horton-Tucker,14:21,Ochai Agbaji,14:05,105,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Kris Murray,16,1,2023-2024,1.0,0,2.0,POR,121,Jerami Grant,Rayan Rupert,5:44,,,,,,,,,,,32:21,Matisse Thybulle,31:38,Shaedon Sharpe,30:39,Jabari Walker,27:57,Toumani Camara,27:54,Malcolm Brogdon,23:52,Duop Reath,20:11,Scoot Henderson,16:40,Skylar Mays,5:44
