3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,108,0,2,100.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201410280LAL.html,Away,90,24:13,0,0.0,LAL,Jeremy Lin,Julius Randle,13:34,Robert Sacre,7:07,,,,,,,,,29:08,Kobe Bryant,29:00,Carlos Boozer,27:35,Ronnie Price,26:56,Jordan Hill,23:23,Wesley Johnson,22:52,Ed Davis,21:35,Jordan Clarkson,20:22,Xavier Henry,18:28,90,4,2,2.0,100.0,0.0,0.0,0.0,0.0,Tarik Black,18,0,2014-2015,0.0,0,2.0,HOU,108,Patrick Beverley,Isaiah Canaan,7:07,,,,,,,,,,,30:55,James Harden,30:46,Terrence Jones,30:31,Trevor Ariza,29:34,Jason Terry,21:23,Dwight Howard,20:34,Kostas Papanikolaou,19:52,Donatas Motiejūnas,16:22,Troy Daniels,8:43
0,,0,0.000,0,,104,0,2,100.0,1,.200,1.0,20.0,5.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201410290UTA.html,Away,93,16:06,0,0.0,UTA,Trey Burke,Joe Ingles,4:10,,,,,,,,,,,38:23,Gordon Hayward,38:08,Alec Burks,35:55,Derrick Favors,27:12,Trevor Booker,23:12,Enes Freedom,22:05,Rodney Hood,21:11,Rudy Gobert,20:07,Dante Exum,9:37,93,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Tarik Black,11,1,2014-2015,1.0,0,2.0,HOU,104,James Harden,,,,,,,,,,,,,38:11,Trevor Ariza,36:38,Dwight Howard,31:54,Patrick Beverley,30:39,Terrence Jones,26:13,Kostas Papanikolaou,22:14,Jason Terry,21:16,Donatas Motiejūnas,8:39,Isaiah Canaan,8:10
0,,0,,0,0.00,90,1,1,50.0,0,,0.0,,0.0,0,2,.500,4,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411010HOU.html,Home,104,4:07,1,50.0,BOS,Rajon Rondo,Marcus Smart,11:29,James Young,5:47,Phil Pressey,3:24,,,,,,,34:23,Jeff Green,31:12,Avery Bradley,26:42,Jared Sullinger,26:37,Evan Turner,25:50,Brandon Bass,20:22,Tyler Zeller,19:29,Marcus Thornton,19:05,Kelly Olynyk,15:40,90,2,2,0.0,0.0,0.0,0.0,2.0,100.0,Tarik Black,14,0,2014-2015,1.0,1,2.0,HOU,104,Isaiah Canaan,Joey Dorsey,3:39,Nick Johnson,3:39,,,,,,,,,34:45,Dwight Howard,33:02,James Harden,31:06,Terrence Jones,30:19,Trevor Ariza,29:48,Kostas Papanikolaou,23:11,Jason Terry,22:56,Donatas Motiejūnas,19:49,Troy Daniels,3:39
0,,0,,0,0.00,81,0,2,66.7,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411060HOU.html,Home,98,9:09,1,33.3,SAS,Kyle Anderson,Matt Bonner,15:14,,,,,,,,,,,31:14,Aron Baynes,31:05,Kawhi Leonard,28:58,Tony Parker,25:47,Danny Green,25:26,Jeff Ayres,22:37,Boris Diaw,22:09,Cory Joseph,21:31,Austin Daye,15:59,81,3,0,0.0,,0.0,,0.0,,Tarik Black,17,0,2014-2015,0.0,2,3.0,HOU,98,James Harden,Clint Capela,6:13,Nick Johnson,3:09,Joey Dorsey,3:09,,,,,,,32:52,Dwight Howard,32:38,Trevor Ariza,32:01,Isaiah Canaan,26:22,Kostas Papanikolaou,26:18,Donatas Motiejūnas,25:19,Jason Terry,20:43,Troy Daniels,13:27,Francisco García,8:40
0,,0,0.000,0,,98,0,2,40.0,1,.333,1.0,33.3,3.0,3,0,.000,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411080HOU.html,Home,87,15:01,3,60.0,GSW,Stephen Curry,Festus Ezeli,2:49,,,,,,,,,,,39:58,Andrew Bogut,36:32,Draymond Green,34:09,Andre Iguodala,31:15,Klay Thompson,31:09,Harrison Barnes,23:16,Leandro Barbosa,18:18,Shaun Livingston,15:24,Marreese Speights,7:10,98,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Tarik Black,11,0,2014-2015,0.0,0,5.0,HOU,87,James Harden,,,,,,,,,,,,,43:26,Trevor Ariza,39:07,Isaiah Canaan,38:50,Donatas Motiejūnas,30:02,Kostas Papanikolaou,29:28,Jason Terry,29:19,Francisco García,9:45,Troy Daniels,5:02,,
0,,0,0.000,0,0.00,113,0,2,33.3,5,.833,5.0,83.3,6.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411120MIN.html,Away,101,16:53,4,66.7,MIN,Zach LaVine,Ronny Turiaf,9:39,Anthony Bennett,8:48,Robbie Hummel,8:28,Chase Budinger,3:54,,,,,34:26,Andrew Wiggins,31:30,Nikola Peković,28:06,Thaddeus Young,27:12,Corey Brewer,24:12,Kevin Martin,22:01,Shabazz Muhammad,14:23,Gorgui Dieng,13:47,Mo Williams,13:34,101,3,10,10.0,100.0,0.0,0.0,0.0,0.0,Tarik Black,12,0,2014-2015,0.0,1,6.0,HOU,113,James Harden,Joey Dorsey,3:00,,,,,,,,,,,39:45,Trevor Ariza,33:52,Dwight Howard,33:20,Donatas Motiejūnas,30:33,Isaiah Canaan,26:12,Kostas Papanikolaou,24:01,Jason Terry,23:11,Troy Daniels,5:19,Nick Johnson,3:54
0,,0,0.000,1,,87,0,1,50.0,0,.000,0.0,0.0,1.0,1,1,.500,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411140HOU.html,Home,88,6:59,1,50.0,PHI,Tony Wroten,Chris Johnson,10:05,,,,,,,,,,,35:21,Luc Mbah a Moute,31:32,Henry Sims,30:08,Brandon Davies,28:30,Michael Carter-Williams,26:54,Hollis Thompson,25:03,Nerlens Noel,23:18,K.J. McDaniels,16:28,Drew Gordon,12:41,87,4,1,0.0,0.0,0.0,0.0,1.0,100.0,Tarik Black,1,0,2014-2015,0.0,0,2.0,HOU,88,Trevor Ariza,,,,,,,,,,,,,42:21,Dwight Howard,40:55,James Harden,40:44,Donatas Motiejūnas,30:50,Isaiah Canaan,26:12,Jason Terry,22:05,Kostas Papanikolaou,16:53,Francisco García,13:01,,
0,,0,0.000,0,0.00,69,0,4,50.0,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411160OKC.html,Away,65,13:17,4,50.0,OKC,Reggie Jackson,Ish Smith,5:56,,,,,,,,,,,36:36,Serge Ibaka,34:55,Anthony Morrow,28:40,Lance Thomas,26:11,Jeremy Lamb,25:23,Kendrick Perkins,22:47,Steven Adams,22:42,Sebastian Telfair,21:14,Nick Collison,15:36,65,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Tarik Black,4,0,2014-2015,0.0,2,8.0,HOU,69,Dwight Howard,,,,,,,,,,,,,39:48,James Harden,37:13,Trevor Ariza,37:01,Donatas Motiejūnas,32:22,Patrick Beverley,28:54,Jason Terry,19:12,Kostas Papanikolaou,15:01,Francisco García,12:55,Troy Daniels,4:17
0,,0,0.000,0,0.00,93,0,3,42.9,4,.800,4.0,80.0,5.0,5,0,.000,1,20.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411170MEM.html,Away,119,20:14,4,57.1,MEM,Courtney Lee,Jordan Adams,10:00,Vince Carter,7:53,Jarnell Stokes,6:16,,,,,,,30:07,Quincy Pondexter,29:47,Zach Randolph,25:58,Marc Gasol,25:12,Beno Udrih,24:47,Mike Conley,23:23,Jon Leuer,21:00,Tony Allen,18:13,Kosta Koufos,17:24,119,1,8,8.0,100.0,0.0,0.0,0.0,0.0,Tarik Black,26,0,2014-2015,0.0,1,7.0,HOU,93,James Harden,Joey Dorsey,10:00,Francisco García,1:24,,,,,,,,,33:32,Trevor Ariza,32:21,Dwight Howard,28:26,Kostas Papanikolaou,23:39,Patrick Beverley,22:23,Isaiah Canaan,20:52,Jason Terry,17:35,Donatas Motiejūnas,17:34,Troy Daniels,12:00
0,,0,0.000,1,1.00,98,0,6,66.7,2,.333,2.0,33.3,6.0,6,1,.500,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411190HOU.html,Home,92,34:46,3,33.3,LAL,Kobe Bryant,,,,,,,,,,,,,39:32,Wesley Johnson,36:15,Jordan Hill,34:42,Jeremy Lin,30:07,Carlos Boozer,30:00,Nick Young,28:26,Ed Davis,18:30,Ronnie Price,15:31,Robert Sacre,6:57,98,2,5,4.0,80.0,0.0,0.0,1.0,20.0,Tarik Black,6,1,2014-2015,1.0,1,9.0,HOU,92,Trevor Ariza,,,,,,,,,,,,,40:50,James Harden,37:42,Patrick Beverley,34:33,Kostas Papanikolaou,33:40,Jason Terry,20:10,Donatas Motiejūnas,18:05,Francisco García,11:13,Joey Dorsey,9:01,,
