3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
3,.500,6,46.154,3,1.00,103,0,2,66.7,5,.385,2.0,28.6,7.0,13,2,1.000,2,15.385,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201310290LAL.html,Away,116,25:54,1,33.3,LAL,Jordan Farmar,Jordan Hill,18:02,Shawne Williams,12:50,,,,,,,,,27:16,Xavier Henry,26:24,Jodie Meeks,25:35,Pau Gasol,24:29,Steve Blake,22:25,Nick Young,22:03,Steve Nash,20:44,Wesley Johnson,20:32,Chris Kaman,19:40,116,0,15,4.0,26.7,9.0,60.0,2.0,13.3,Jamal Crawford,13,0,2013-2014,0.0,3,3.0,LAC,103,Blake Griffin,,,,,,,,,,,,,40:09,Chris Paul,35:58,DeAndre Jordan,35:29,JJ Redick,33:49,Matt Barnes,28:28,Jared Dudley,22:43,Darren Collison,12:29,Ryan Hollins,3:57,Reggie Bullock,1:04
2,.400,5,35.714,1,0.25,115,0,1,100.0,7,.500,5.0,55.6,9.0,14,1,.500,2,14.286,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201310310LAC.html,Home,126,23:23,0,0.0,GSW,Andre Iguodala,Kent Bazemore,2:56,Ognjen Kuzmić,0:49,Nemanja Nedović,0:49,,,,,,,42:49,Stephen Curry,38:29,Klay Thompson,38:09,David Lee,28:51,Andrew Bogut,28:09,Draymond Green,21:28,Jermaine O'Neal,15:51,Marreese Speights,11:41,Toney Douglas,9:59,115,1,17,10.0,58.8,6.0,35.3,1.0,5.9,Jamal Crawford,11,1,2013-2014,1.0,4,1.0,LAC,126,DeAndre Jordan,Reggie Bullock,0:18,,,,,,,,,,,41:06,Chris Paul,37:26,Blake Griffin,34:13,Jared Dudley,32:57,JJ Redick,28:07,Matt Barnes,17:58,Darren Collison,11:12,Byron Mullens,8:58,Ryan Hollins,4:22
3,.600,5,50.000,1,1.00,110,0,1,100.0,7,.700,4.0,80.0,5.0,10,1,.333,3,30.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311010SAC.html,Away,101,22:12,0,0.0,SAC,DeMarcus Cousins,Chuck Hayes,11:56,Hamady N'Diaye,0:21,,,,,,,,,35:21,Marcus Thornton,32:46,Isaiah Thomas,31:01,Jason Thompson,29:55,John Salmons,28:41,Greivis Vásquez,20:09,Travis Outlaw,18:22,Patrick Patterson,18:05,Ben McLemore,13:23,101,0,18,8.0,44.4,9.0,50.0,1.0,5.6,Jamal Crawford,9,0,2013-2014,0.0,1,1.0,LAC,110,Blake Griffin,,,,,,,,,,,,,41:23,Chris Paul,35:57,DeAndre Jordan,31:03,JJ Redick,28:01,Jared Dudley,23:41,Matt Barnes,21:50,Byron Mullens,15:12,Darren Collison,12:40,Ryan Hollins,8:01
6,.545,11,73.333,4,,118,0,2,66.7,7,.467,1.0,25.0,4.0,15,1,1.000,1,6.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311040LAC.html,Home,137,30:12,1,33.3,HOU,Chandler Parsons,Ronnie Brewer,4:38,Donatas Motiejūnas,4:38,Terrence Jones,4:07,,,,,,,35:51,James Harden,32:48,Jeremy Lin,30:29,Omri Casspi,28:06,Dwight Howard,25:49,Ömer Aşık,23:42,Francisco García,21:18,Aaron Brooks,17:31,Greg Smith,11:03,118,2,21,2.0,9.5,18.0,85.7,1.0,4.8,Jamal Crawford,19,0,2013-2014,0.0,0,3.0,LAC,137,Jared Dudley,Reggie Bullock,4:07,,,,,,,,,,,33:51,Chris Paul,33:17,Blake Griffin,31:45,DeAndre Jordan,29:33,JJ Redick,27:50,Byron Mullens,15:00,Matt Barnes,14:57,Darren Collison,14:43,Ryan Hollins,4:45
0,.000,3,23.077,1,1.00,90,0,1,50.0,5,.385,5.0,50.0,10.0,13,4,1.000,4,30.769,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311060ORL.html,Away,98,21:02,1,50.0,ORL,Nikola Vučević,,,,,,,,,,,,,38:26,Jameer Nelson,35:59,Arron Afflalo,35:33,E'Twaun Moore,26:49,Andrew Nicholson,24:44,Maurice Harkless,23:24,Jason Maxiell,22:52,Victor Oladipo,22:39,Kyle O'Quinn,9:34,98,1,14,10.0,71.4,0.0,0.0,4.0,28.6,Jamal Crawford,8,0,2013-2014,0.0,1,2.0,LAC,90,DeAndre Jordan,,,,,,,,,,,,,43:31,Blake Griffin,40:03,Chris Paul,35:19,JJ Redick,32:10,Jared Dudley,29:45,Darren Collison,14:10,Willie Green,12:32,Byron Mullens,11:28,,
2,.400,5,45.455,1,1.00,97,0,1,100.0,6,.545,4.0,66.7,6.0,11,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311070MIA.html,Away,102,29:29,0,0.0,MIA,LeBron James,Rashard Lewis,7:36,,,,,,,,,,,37:09,Dwyane Wade,33:54,Chris Bosh,29:10,Norris Cole,27:04,Ray Allen,26:01,Mario Chalmers,23:13,Shane Battier,22:04,Chris Andersen,18:50,Udonis Haslem,14:59,102,1,14,8.0,57.1,6.0,42.9,0.0,0.0,Jamal Crawford,5,1,2013-2014,1.0,1,1.0,LAC,97,DeAndre Jordan,,,,,,,,,,,,,42:02,Blake Griffin,38:18,Chris Paul,37:26,JJ Redick,30:49,Jared Dudley,27:54,Willie Green,14:04,Darren Collison,11:26,Byron Mullens,8:12,Reggie Bullock,0:20
2,.500,4,26.667,1,1.00,107,1,0,0.0,6,.400,4.0,36.4,11.0,15,2,.667,3,20.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311090HOU.html,Away,94,30:58,2,100.0,HOU,Dwight Howard,,,,,,,,,,,,,39:22,Patrick Beverley,37:44,Chandler Parsons,37:39,James Harden,37:35,Jeremy Lin,26:29,Ömer Aşık,23:36,Francisco García,19:46,Omri Casspi,17:49,,,94,4,16,8.0,50.0,6.0,37.5,2.0,12.5,Jamal Crawford,13,0,2013-2014,1.0,1,2.0,LAC,107,Chris Paul,,,,,,,,,,,,,37:10,DeAndre Jordan,35:49,JJ Redick,35:41,Blake Griffin,34:01,Jared Dudley,27:34,Darren Collison,23:55,Reggie Bullock,9:03,Willie Green,4:13,Byron Mullens,1:36
3,.500,6,54.545,6,2.00,107,0,2,100.0,7,.636,4.0,80.0,5.0,11,1,1.000,1,9.091,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311110LAC.html,Home,109,30:47,0,0.0,MIN,Kevin Love,Gorgui Dieng,5:02,,,,,,,,,,,38:48,Corey Brewer,35:41,Nikola Peković,35:32,Kevin Martin,35:23,Ricky Rubio,33:39,J.J. Barea,16:51,Dante Cunningham,16:38,Derrick Williams,11:18,Alexey Shved,11:08,107,1,18,8.0,44.4,9.0,50.0,1.0,5.6,Jamal Crawford,2,0,2013-2014,0.0,3,2.0,LAC,109,Blake Griffin,,,,,,,,,,,,,39:18,DeAndre Jordan,35:58,Chris Paul,34:36,JJ Redick,24:02,Matt Barnes,22:29,Jared Dudley,18:09,Darren Collison,13:57,Ryan Hollins,12:02,Byron Mullens,8:42
3,.429,7,53.846,2,0.40,103,1,2,66.7,7,.538,4.0,66.7,6.0,13,3,.750,4,30.769,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311130LAC.html,Home,111,26:53,1,33.3,OKC,Kevin Durant,Perry Jones,6:26,Ryan Gomes,5:58,Derek Fisher,4:50,,,,,,,41:49,Russell Westbrook,34:49,Thabo Sefolosha,34:40,Reggie Jackson,25:02,Steven Adams,21:26,Nick Collison,20:08,Serge Ibaka,16:36,Hasheem Thabeet,14:27,Jeremy Lamb,13:49,103,2,20,8.0,40.0,9.0,45.0,3.0,15.0,Jamal Crawford,8,2,2013-2014,3.0,5,3.0,LAC,111,Chris Paul,Byron Mullens,5:03,,,,,,,,,,,40:52,Blake Griffin,37:59,DeAndre Jordan,32:09,Jared Dudley,30:54,JJ Redick,25:44,Darren Collison,16:34,Ryan Hollins,10:31,Matt Barnes,7:48,Reggie Bullock,5:33
1,.333,3,37.500,4,1.00,103,0,2,100.0,5,.625,4.0,80.0,5.0,8,2,.667,3,37.500,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311160LAC.html,Home,110,20:46,0,0.0,BRK,Joe Johnson,Tornike Shengelia,8:14,,,,,,,,,,,34:17,Andray Blatche,33:41,Shaun Livingston,32:43,Alan Anderson,32:09,Mason Plumlee,26:36,Jason Terry,25:13,Reggie Evans,21:45,Tyshawn Taylor,15:17,Mirza Teletović,10:05,103,1,13,8.0,61.5,3.0,23.1,2.0,15.4,Jamal Crawford,7,1,2013-2014,1.0,4,2.0,LAC,110,Blake Griffin,Reggie Bullock,3:14,,,,,,,,,,,39:59,DeAndre Jordan,35:11,Chris Paul,34:28,JJ Redick,29:37,Jared Dudley,24:34,Matt Barnes,23:42,Darren Collison,13:46,Byron Mullens,9:31,Ryan Hollins,5:12
