3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,50.000,0,,87,0,1,100.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201310300TOR.html,Away,93,3:40,0,0.0,TOR,DeMar DeRozan,Steve Novak,6:39,,,,,,,,,,,40:24,Kyle Lowry,34:45,Rudy Gay,34:10,Jonas Valančiūnas,31:23,Tyler Hansbrough,24:40,Amir Johnson,24:18,Landry Fields,18:14,D.J. Augustin,13:15,Terrence Ross,12:12,93,2,0,0.0,,0.0,,0.0,,Phil Pressey,6,0,2013-2014,0.0,0,1.0,BOS,87,Gerald Wallace,,,,,,,,,,,,,39:52,Jeff Green,37:03,Brandon Bass,32:13,Avery Bradley,31:19,Vítor Luiz Faverani,26:41,Kris Humphries,20:48,Jordan Crawford,17:38,Kelly Olynyk,16:18,Courtney Lee,14:28
0,.000,2,50.000,3,,87,0,0,,1,.250,1.0,50.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311060BOS.html,Home,97,16:54,0,,UTA,Gordon Hayward,Rudy Gobert,5:54,,,,,,,,,,,39:36,Enes Freedom,37:34,Derrick Favors,34:15,Richard Jefferson,31:58,Alec Burks,22:16,Jamaal Tinsley,20:23,Mike Harris,18:17,Ian Clark,16:34,John Lucas III,13:13,87,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Phil Pressey,10,1,2013-2014,1.0,0,0.0,BOS,97,Jeff Green,Kris Humphries,5:42,,,,,,,,,,,36:18,Brandon Bass,31:17,Avery Bradley,30:18,Kelly Olynyk,29:25,Jordan Crawford,26:57,Jared Sullinger,23:32,Gerald Wallace,23:00,Courtney Lee,10:33,Vítor Luiz Faverani,6:04
0,.000,1,25.000,1,,91,0,2,100.0,0,.000,0.0,0.0,3.0,4,1,.500,2,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311080ORL.html,Away,89,15:35,0,0.0,ORL,Nikola Vučević,,,,,,,,,,,,,36:05,Jameer Nelson,36:01,Arron Afflalo,34:03,Maurice Harkless,31:16,Jason Maxiell,27:06,Victor Oladipo,23:16,Andrew Nicholson,20:54,E'Twaun Moore,19:24,Kyle O'Quinn,11:55,89,2,1,0.0,0.0,0.0,0.0,1.0,100.0,Phil Pressey,2,2,2013-2014,2.0,0,2.0,BOS,91,Brandon Bass,Kris Humphries,0:51,,,,,,,,,,,36:40,Jeff Green,31:51,Jordan Crawford,30:36,Avery Bradley,28:53,Kelly Olynyk,22:15,Gerald Wallace,19:52,Jared Sullinger,19:32,Courtney Lee,17:24,Vítor Luiz Faverani,16:31
0,.000,3,33.333,5,2.50,111,1,2,66.7,3,.333,3.0,50.0,6.0,9,1,.500,2,22.222,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311090MIA.html,Away,110,20:37,1,33.3,MIA,LeBron James,Michael Beasley,8:16,,,,,,,,,,,36:32,Dwyane Wade,33:48,Chris Bosh,31:21,Mario Chalmers,29:00,Shane Battier,27:02,Ray Allen,24:27,Norris Cole,19:00,Chris Andersen,16:40,Rashard Lewis,13:54,110,1,7,6.0,85.7,0.0,0.0,1.0,14.3,Phil Pressey,1,1,2013-2014,2.0,2,3.0,BOS,111,Jeff Green,Vítor Luiz Faverani,2:41,,,,,,,,,,,35:51,Gerald Wallace,30:52,Avery Bradley,29:41,Jordan Crawford,27:44,Jared Sullinger,24:14,Kelly Olynyk,22:45,Kris Humphries,18:34,Brandon Bass,14:56,Courtney Lee,12:05
1,1.000,1,16.667,2,1.00,105,0,2,100.0,3,.500,2.0,40.0,5.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311110BOS.html,Home,120,15:07,0,0.0,ORL,Arron Afflalo,Ronnie Price,2:51,,,,,,,,,,,38:39,Jason Maxiell,30:49,Nikola Vučević,28:54,Victor Oladipo,26:49,Maurice Harkless,26:38,E'Twaun Moore,24:52,Jameer Nelson,24:11,Kyle O'Quinn,23:08,Andrew Nicholson,13:09,105,1,7,4.0,57.1,3.0,42.9,0.0,0.0,Phil Pressey,15,0,2013-2014,0.0,2,2.0,BOS,120,Jordan Crawford,,,,,,,,,,,,,32:36,Brandon Bass,30:07,Avery Bradley,29:03,Jeff Green,28:52,Kelly Olynyk,26:01,Jared Sullinger,25:28,Gerald Wallace,19:25,Courtney Lee,18:57,Vítor Luiz Faverani,14:24
0,.000,1,25.000,0,0.00,89,0,0,,0,.000,0.0,0.0,3.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311130BOS.html,Home,83,11:04,0,,CHA,Gerald Henderson,,,,,,,,,,,,,34:36,Kemba Walker,34:07,Al Jefferson,32:59,Jeff Taylor,29:23,Michael Kidd-Gilchrist,27:39,Anthony Tolliver,25:38,Cody Zeller,22:22,Ramon Sessions,18:15,Bismack Biyombo,15:01,89,1,0,0.0,,0.0,,0.0,,Phil Pressey,6,0,2013-2014,0.0,1,0.0,BOS,83,Jordan Crawford,,,,,,,,,,,,,35:22,Kelly Olynyk,33:17,Gerald Wallace,32:13,Jeff Green,31:58,Brandon Bass,27:05,Avery Bradley,22:55,Vítor Luiz Faverani,22:02,Courtney Lee,14:17,Kris Humphries,9:47
2,.667,3,75.000,3,1.50,109,0,2,100.0,2,.500,0.0,0.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311150BOS.html,Home,96,11:53,0,0.0,POR,Robin Lopez,Victor Claver,1:25,Will Barton,1:24,Allen Crabbe,1:24,,,,,,,35:56,LaMarcus Aldridge,34:07,Nicolas Batum,33:49,Wesley Matthews,31:54,Damian Lillard,30:59,Mo Williams,30:10,Dorell Wright,14:35,Thomas Robinson,12:13,Joel Freeland,12:04,109,3,6,0.0,0.0,6.0,100.0,0.0,0.0,Phil Pressey,13,0,2013-2014,0.0,2,2.0,BOS,96,Jared Sullinger,MarShon Brooks,3:09,,,,,,,,,,,36:05,Jordan Crawford,34:21,Jeff Green,30:40,Brandon Bass,29:09,Gerald Wallace,25:56,Avery Bradley,20:40,Courtney Lee,17:20,Kelly Olynyk,15:56,Vítor Luiz Faverani,14:51
0,.000,1,50.000,2,,88,0,0,,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311160MIN.html,Away,106,14:20,0,,MIN,Kevin Martin,A.J. Price,2:57,Derrick Williams,2:57,Gorgui Dieng,2:23,,,,,,,34:20,Kevin Love,32:36,Ricky Rubio,31:31,Nikola Peković,30:30,Dante Cunningham,27:34,Corey Brewer,27:33,J.J. Barea,20:39,Robbie Hummel,20:27,Alexey Shved,6:33,106,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Phil Pressey,18,0,2013-2014,0.0,0,0.0,BOS,88,Avery Bradley,Kris Humphries,10:52,,,,,,,,,,,36:21,Brandon Bass,30:28,Jeff Green,29:44,Jordan Crawford,28:41,Vítor Luiz Faverani,26:35,MarShon Brooks,17:36,Gerald Wallace,17:18,Kelly Olynyk,14:23,Jared Sullinger,13:42
0,.000,2,66.667,5,5.00,85,0,0,,0,.000,0.0,0.0,1.0,3,5,.714,7,233.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311190HOU.html,Away,109,21:00,0,,HOU,James Harden,Aaron Brooks,9:11,Ömer Aşık,6:49,,,,,,,,,31:24,Chandler Parsons,29:52,Dwight Howard,27:52,Terrence Jones,27:09,Omri Casspi,24:47,Jeremy Lin,23:37,Patrick Beverley,23:03,Donatas Motiejūnas,18:08,Francisco García,18:08,109,0,5,0.0,0.0,0.0,0.0,5.0,100.0,Phil Pressey,24,2,2013-2014,2.0,1,0.0,BOS,85,Avery Bradley,Keith Bogans,12:25,Gerald Wallace,10:41,MarShon Brooks,6:49,,,,,,,27:19,Courtney Lee,23:25,Jordan Crawford,23:05,Kelly Olynyk,22:24,Jeff Green,22:15,Jared Sullinger,21:49,Brandon Bass,20:12,Vítor Luiz Faverani,14:28,Kris Humphries,14:08
0,.000,1,33.333,2,2.00,93,0,2,66.7,1,.333,1.0,50.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311200SAS.html,Away,104,8:54,1,33.3,SAS,Kawhi Leonard,Matt Bonner,13:47,Jeff Ayres,8:06,Cory Joseph,1:04,,,,,,,31:45,Tony Parker,28:04,Tim Duncan,27:34,Manu Ginóbili,24:00,Boris Diaw,23:57,Danny Green,22:56,Tiago Splitter,22:36,Patty Mills,18:52,Marco Belinelli,17:19,104,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Phil Pressey,11,1,2013-2014,1.0,1,3.0,BOS,93,Jeff Green,Vítor Luiz Faverani,2:05,,,,,,,,,,,38:55,Kelly Olynyk,37:29,Avery Bradley,35:36,Jared Sullinger,31:24,Jordan Crawford,27:23,Brandon Bass,20:09,Courtney Lee,18:04,Gerald Wallace,15:08,Kris Humphries,4:53
