3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,0.00,103,2,4,50.0,5,.500,5.0,50.0,10.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201310290LAL.html,Home,116,19:40,4,50.0,LAC,Blake Griffin,Reggie Bullock,1:04,,,,,,,,,,,40:09,Chris Paul,35:58,DeAndre Jordan,35:29,JJ Redick,33:49,Matt Barnes,28:28,Jamal Crawford,25:54,Jared Dudley,22:43,Darren Collison,12:29,Ryan Hollins,3:57,103,1,10,10.0,100.0,0.0,0.0,0.0,0.0,Chris Kaman,13,1,2013-2014,3.0,1,8.0,LAL,116,Jordan Farmar,Shawne Williams,12:50,,,,,,,,,,,27:16,Xavier Henry,26:24,Jodie Meeks,25:35,Pau Gasol,24:29,Steve Blake,22:25,Nick Young,22:03,Steve Nash,20:44,Wesley Johnson,20:32,Jordan Hill,18:02
0,,0,0.000,0,,94,0,2,50.0,5,.556,5.0,55.6,9.0,9,1,.500,2,22.222,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201310300GSW.html,Away,125,17:43,2,50.0,GSW,Klay Thompson,Kent Bazemore,12:13,Ognjen Kuzmić,9:45,Nemanja Nedović,7:36,,,,,,,31:04,Andre Iguodala,27:49,David Lee,26:34,Toney Douglas,24:29,Stephen Curry,23:57,Jermaine O'Neal,19:50,Marreese Speights,19:45,Draymond Green,18:59,Andrew Bogut,17:59,125,1,11,10.0,90.9,0.0,0.0,1.0,9.1,Chris Kaman,31,0,2013-2014,0.0,0,4.0,LAL,94,Xavier Henry,Robert Sacre,7:36,Elias Harris,7:36,,,,,,,,,35:31,Steve Blake,31:40,Jordan Farmar,25:35,Wesley Johnson,24:57,Pau Gasol,23:03,Jodie Meeks,22:16,Nick Young,19:43,Jordan Hill,12:49,Shawne Williams,11:31
0,,0,0.000,1,1.00,91,0,2,50.0,2,.667,2.0,66.7,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311010LAL.html,Home,85,12:40,2,50.0,SAS,Tony Parker,Aron Baynes,12:06,Patty Mills,12:04,Cory Joseph,0:21,,,,,,,35:56,Tiago Splitter,32:22,Kawhi Leonard,31:34,Manu Ginóbili,27:08,Boris Diaw,22:23,Danny Green,20:52,Marco Belinelli,16:26,Matt Bonner,15:39,Jeff Ayres,13:09,91,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Chris Kaman,6,0,2013-2014,0.0,1,4.0,LAL,85,Steve Blake,Jordan Hill,11:38,,,,,,,,,,,31:38,Pau Gasol,29:06,Jodie Meeks,27:35,Wesley Johnson,27:22,Steve Nash,23:20,Xavier Henry,22:00,Shawne Williams,20:38,Nick Young,17:41,Jordan Farmar,16:22
0,,0,0.000,1,0.33,103,1,5,100.0,5,.714,5.0,71.4,7.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311030LAL.html,Home,105,16:03,0,0.0,ATL,Kyle Korver,John Jenkins,5:54,Elton Brand,4:20,,,,,,,,,37:19,Al Horford,33:37,Jeff Teague,32:40,Paul Millsap,28:53,Cartier Martin,27:49,Mike Scott,21:36,Dennis Schröder,21:34,DeMarre Carroll,18:38,Pero Antić,7:40,103,5,10,10.0,100.0,0.0,0.0,0.0,0.0,Chris Kaman,2,0,2013-2014,1.0,3,5.0,LAL,105,Steve Blake,Jordan Hill,13:36,,,,,,,,,,,32:24,Steve Nash,29:04,Pau Gasol,27:41,Xavier Henry,25:56,Wesley Johnson,20:56,Nick Young,20:48,Jordan Farmar,18:50,Shawne Williams,17:44,Jodie Meeks,16:58
0,,0,0.000,0,0.00,104,1,5,71.4,5,.714,5.0,71.4,7.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311050DAL.html,Away,123,17:12,2,28.6,DAL,Monta Ellis,Wayne Ellington,8:50,Ricky Ledo,6:33,Bernard James,6:27,,,,,,,31:15,Dirk Nowitzki,28:06,Shawn Marion,27:26,Gal Mekel,26:15,Jae Crowder,23:46,Samuel Dalembert,23:02,José Calderón,21:45,DeJuan Blair,18:34,Vince Carter,18:01,123,2,10,10.0,100.0,0.0,0.0,0.0,0.0,Chris Kaman,19,0,2013-2014,1.0,3,7.0,LAL,104,Pau Gasol,Shawne Williams,5:24,Robert Sacre,4:44,Ryan Kelly,3:02,,,,,,,31:06,Steve Blake,27:09,Nick Young,27:00,Jordan Farmar,24:14,Jodie Meeks,21:58,Wesley Johnson,21:22,Xavier Henry,21:00,Steve Nash,20:22,Jordan Hill,15:27
0,,0,0.000,1,0.25,99,2,8,80.0,3,.600,3.0,60.0,5.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311070HOU.html,Away,98,19:39,2,20.0,HOU,James Harden,,,,,,,,,,,,,43:54,Chandler Parsons,36:44,Dwight Howard,36:31,Patrick Beverley,33:49,Jeremy Lin,31:06,Ömer Aşık,23:19,Omri Casspi,20:25,Francisco García,14:12,,,98,3,6,6.0,100.0,0.0,0.0,0.0,0.0,Chris Kaman,1,2,2013-2014,4.0,4,10.0,LAL,99,Steve Blake,,,,,,,,,,,,,33:58,Pau Gasol,31:59,Wesley Johnson,28:22,Steve Nash,27:58,Jodie Meeks,26:07,Nick Young,21:59,Jordan Farmar,20:01,Jordan Hill,16:01,Xavier Henry,13:56
0,,0,0.000,2,1.00,85,2,4,100.0,7,.538,7.0,53.8,13.0,13,2,1.000,2,15.385,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311080NOP.html,Away,96,23:31,0,0.0,NOP,Jrue Holiday,Lance Thomas,10:22,Arinze Onuaku,0:09,Jeff Withey,0:09,Austin Rivers,0:08,,,,,39:25,Anthony Davis,37:10,Eric Gordon,31:09,Jason Smith,29:23,Tyreke Evans,26:46,Al-Farouq Aminu,18:30,Greg Stiemsma,18:28,Anthony Morrow,16:44,Brian Roberts,11:37,96,3,16,14.0,87.5,0.0,0.0,2.0,12.5,Chris Kaman,11,0,2013-2014,2.0,2,4.0,LAL,85,Jodie Meeks,,,,,,,,,,,,,41:35,Steve Blake,36:29,Nick Young,28:27,Pau Gasol,27:30,Jordan Farmar,22:39,Jordan Hill,22:17,Wesley Johnson,21:09,Xavier Henry,16:23,,
0,,0,0.000,0,0.00,113,0,5,100.0,4,.400,4.0,40.0,10.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311100LAL.html,Home,90,19:15,0,0.0,MIN,Corey Brewer,Derrick Williams,3:12,Gorgui Dieng,2:47,Shabazz Muhammad,2:47,Robbie Hummel,2:22,,,,,38:02,Ricky Rubio,38:00,Kevin Love,36:47,Nikola Peković,34:24,Kevin Martin,33:02,J.J. Barea,18:59,Dante Cunningham,18:50,Alexey Shved,7:36,A.J. Price,3:12,113,2,8,8.0,100.0,0.0,0.0,0.0,0.0,Chris Kaman,23,0,2013-2014,0.0,3,5.0,LAL,90,Steve Blake,Steve Nash,13:21,,,,,,,,,,,34:42,Pau Gasol,29:17,Jodie Meeks,29:12,Shawne Williams,25:03,Wesley Johnson,22:13,Nick Young,19:35,Jordan Hill,18:43,Jordan Farmar,14:24,Xavier Henry,14:15
0,,0,0.000,6,2.00,95,0,7,77.8,4,.444,4.0,44.4,9.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311120LAL.html,Home,116,21:24,2,22.2,NOP,Eric Gordon,Greg Stiemsma,11:41,Brian Roberts,8:54,Lou Amundson,8:24,,,,,,,32:03,Tyreke Evans,30:40,Jason Smith,27:49,Jrue Holiday,27:11,Anthony Davis,26:29,Jeff Withey,18:18,Al-Farouq Aminu,17:33,Anthony Morrow,16:11,Austin Rivers,14:47,95,3,8,8.0,100.0,0.0,0.0,0.0,0.0,Chris Kaman,21,1,2013-2014,1.0,3,9.0,LAL,116,Steve Blake,Robert Sacre,5:42,Ryan Kelly,3:47,Elias Harris,3:47,,,,,,,27:27,Jordan Hill,26:18,Pau Gasol,25:53,Jodie Meeks,25:52,Nick Young,23:20,Xavier Henry,22:09,Wesley Johnson,20:52,Jordan Farmar,20:33,Shawne Williams,12:56
0,,0,0.000,2,0.67,99,0,1,25.0,3,.333,3.0,33.3,9.0,9,2,1.000,2,22.222,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311130DEN.html,Away,111,18:35,3,75.0,DEN,Ty Lawson,Evan Fournier,14:50,Jordan Hamilton,12:01,,,,,,,,,34:18,Kenneth Faried,29:34,Timofey Mozgov,27:49,Randy Foye,23:56,Andre Miller,21:14,Wilson Chandler,21:10,Nate Robinson,19:16,Darrell Arthur,18:26,J.J. Hickson,17:26,111,4,8,6.0,75.0,0.0,0.0,2.0,25.0,Chris Kaman,12,0,2013-2014,0.0,3,4.0,LAL,99,Steve Blake,,,,,,,,,,,,,33:47,Pau Gasol,33:25,Wesley Johnson,31:34,Jordan Hill,30:20,Jodie Meeks,27:02,Nick Young,26:27,Xavier Henry,15:50,Jordan Farmar,14:14,Shawne Williams,8:46
