3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,.500,2,11.111,3,3.00,101,0,2,100.0,10,.556,9.0,56.2,16.0,18,3,1.000,3,16.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910230MIA.html,Home,120,26:31,0,0.0,MEM,Jae Crowder,Jonas Valančiūnas,16:09,Bruno Caboclo,4:44,De'Anthony Melton,2:45,,,,,,,30:17,Jaren Jackson Jr.,29:56,Ja Morant,25:09,Marko Gudurić,24:06,Tyus Jones,24:03,Brandon Clarke,23:03,Kyle Anderson,20:50,Grayson Allen,20:48,Dillon Brooks,18:10,101,5,24,18.0,75.0,3.0,12.5,3.0,12.5,Kendrick Nunn,19,2,2019-2020,2.0,1,2.0,MIA,120,Justise Winslow,Daryl Macon,1:10,KZ Okpala,1:10,,,,,,,,,36:58,Tyler Herro,33:54,Goran Dragić,25:07,Bam Adebayo,24:03,Duncan Robinson,22:56,Kelly Olynyk,22:13,Meyers Leonard,18:41,Derrick Jones Jr.,15:54,Chris Silva,11:23
2,.250,8,47.059,5,5.00,131,1,4,100.0,8,.471,6.0,66.7,9.0,17,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910260MIL.html,Away,126,28:31,0,0.0,MIL,Khris Middleton,Robin Lopez,12:46,Sterling Brown,0:15,,,,,,,,,37:23,Giannis Antetokounmpo,36:38,Brook Lopez,34:39,Eric Bledsoe,33:14,Wesley Matthews,30:07,George Hill,28:47,Ersan İlyasova,20:28,Kyle Korver,17:41,Pat Connaughton,13:02,126,6,18,12.0,66.7,6.0,33.3,0.0,0.0,Kendrick Nunn,5,2,2019-2020,3.0,1,4.0,MIA,131,Justise Winslow,,,,,,,,,,,,,40:40,Bam Adebayo,38:28,Goran Dragić,34:31,Tyler Herro,32:20,Kelly Olynyk,27:40,Meyers Leonard,23:30,Duncan Robinson,23:18,Derrick Jones Jr.,15:32,Chris Silva,0:30
5,.556,9,52.941,2,0.50,109,0,4,100.0,9,.529,4.0,50.0,8.0,17,2,1.000,2,11.765,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201910270MIN.html,Away,116,40:14,0,0.0,MIN,Andrew Wiggins,Jarrett Culver,12:45,,,,,,,,,,,35:27,Karl-Anthony Towns,34:48,Jeff Teague,31:04,Robert Covington,27:39,Jake Layman,25:50,Treveon Graham,19:56,Josh Okogie,19:44,Shabazz Napier,19:35,Noah Vonleh,13:12,116,1,25,8.0,32.0,15.0,60.0,2.0,8.0,Kendrick Nunn,7,2,2019-2020,2.0,4,4.0,MIA,109,Justise Winslow,,,,,,,,,,,,,42:42,Tyler Herro,35:02,Bam Adebayo,31:36,Goran Dragić,27:26,Duncan Robinson,23:14,Meyers Leonard,14:07,Kelly Olynyk,13:01,Chris Silva,11:10,KZ Okpala,1:28
3,.500,6,33.333,3,1.00,97,0,0,,7,.389,4.0,33.3,12.0,18,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910290MIA.html,Home,112,29:40,0,,ATL,John Collins,Bruno Fernando,11:52,Trae Young,11:04,Damian Jones,7:49,,,,,,,35:33,De'Andre Hunter,27:56,DeAndre' Bembry,27:07,Cam Reddish,26:00,Jabari Parker,22:46,Kevin Huerter,19:13,Vince Carter,18:13,Alex Len,18:00,Tyrone Wallace,14:27,97,1,17,8.0,47.1,9.0,52.9,0.0,0.0,Kendrick Nunn,15,1,2019-2020,1.0,3,0.0,MIA,112,Bam Adebayo,,,,,,,,,,,,,32:44,Jimmy Butler,30:40,Justise Winslow,30:12,Goran Dragić,29:40,Tyler Herro,29:07,Meyers Leonard,24:43,Kelly Olynyk,18:05,Chris Silva,13:42,Duncan Robinson,1:27
4,.667,6,40.000,0,0.00,106,0,2,100.0,10,.667,6.0,66.7,9.0,15,4,1.000,4,26.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910310ATL.html,Away,97,33:04,0,0.0,ATL,John Collins,Alex Len,14:10,Bruno Fernando,3:51,,,,,,,,,33:04,Cam Reddish,28:32,De'Andre Hunter,28:23,DeAndre' Bembry,28:19,Kevin Huerter,25:54,Jabari Parker,25:28,Tyrone Wallace,19:28,Vince Carter,16:28,Damian Jones,16:23,97,3,28,12.0,42.9,12.0,42.9,4.0,14.3,Kendrick Nunn,9,2,2019-2020,2.0,3,2.0,MIA,106,Bam Adebayo,,,,,,,,,,,,,35:44,Jimmy Butler,35:11,Tyler Herro,30:27,Duncan Robinson,26:53,Meyers Leonard,25:29,Kelly Olynyk,22:01,Goran Dragić,19:24,Chris Silva,11:47,,
1,.200,5,50.000,5,2.50,100,0,1,100.0,2,.200,1.0,20.0,5.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911030MIA.html,Home,129,19:09,0,0.0,HOU,James Harden,Thabo Sefolosha,18:14,Ryan Anderson,9:50,Tyson Chandler,2:30,,,,,,,26:26,Russell Westbrook,26:14,P.J. Tucker,24:48,Austin Rivers,24:25,Clint Capela,22:41,Eric Gordon,22:38,Chris Clemons,21:58,Ben McLemore,20:47,Danuel House Jr.,19:29,100,4,5,2.0,40.0,3.0,60.0,0.0,0.0,Kendrick Nunn,29,1,2019-2020,1.0,2,1.0,MIA,129,Duncan Robinson,,,,,,,,,,,,,35:57,Tyler Herro,34:38,Meyers Leonard,27:42,Goran Dragić,27:42,Jimmy Butler,27:27,Bam Adebayo,25:55,James Johnson,22:05,Kelly Olynyk,14:13,Chris Silva,5:12
2,.250,8,57.143,4,,89,0,2,100.0,4,.286,2.0,33.3,6.0,14,1,.333,3,21.429,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911050DEN.html,Away,109,32:54,0,0.0,DEN,Jamal Murray,Paul Millsap,16:36,Michael Porter Jr.,3:13,Juancho Hernangómez,1:45,Jarred Vanderbilt,1:45,,,,,32:33,Will Barton,32:19,Jerami Grant,29:39,Mason Plumlee,23:29,Nikola Jokić,22:46,Monte Morris,22:08,Torrey Craig,19:05,Malik Beasley,17:24,Gary Harris,17:18,109,2,11,4.0,36.4,6.0,54.5,1.0,9.1,Kendrick Nunn,20,2,2019-2020,2.0,0,2.0,MIA,89,Justise Winslow,Chris Silva,6:14,James Johnson,6:14,,,,,,,,,30:21,Jimmy Butler,29:18,Goran Dragić,25:04,Bam Adebayo,24:55,Kelly Olynyk,23:47,Meyers Leonard,17:59,Derrick Jones Jr.,16:51,Tyler Herro,15:06,Duncan Robinson,11:17
1,.250,4,44.444,0,0.00,124,1,2,100.0,5,.556,4.0,80.0,5.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911070PHO.html,Away,108,22:27,0,0.0,PHO,Devin Booker,Jevon Carter,14:45,Cheick Diallo,1:57,Elie Okobo,1:57,,,,,,,35:33,Ricky Rubio,29:43,Dario Šarić,29:09,Aron Baynes,28:40,Kelly Oubre Jr.,25:27,Mikal Bridges,20:10,Cameron Johnson,19:14,Frank Kaminsky,17:23,Tyler Johnson,16:02,108,1,11,8.0,72.7,3.0,27.3,0.0,0.0,Kendrick Nunn,16,0,2019-2020,1.0,2,2.0,MIA,124,Bam Adebayo,Chris Silva,0:42,,,,,,,,,,,34:57,Jimmy Butler,33:59,Goran Dragić,31:02,Tyler Herro,28:55,Duncan Robinson,27:37,Kelly Olynyk,23:37,James Johnson,14:32,Meyers Leonard,13:02,Derrick Jones Jr.,9:10
0,.000,4,36.364,1,0.33,80,1,3,100.0,4,.364,4.0,57.1,7.0,11,2,1.000,2,18.182,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911080LAL.html,Away,95,23:04,0,0.0,LAL,LeBron James,Quinn Cook,14:45,Troy Daniels,13:07,,,,,,,,,36:03,Anthony Davis,34:45,Kyle Kuzma,25:18,Avery Bradley,24:54,Danny Green,23:18,Alex Caruso,18:41,Kentavious Caldwell-Pope,17:54,JaVale McGee,15:54,Dwight Howard,15:21,95,0,10,8.0,80.0,0.0,0.0,2.0,20.0,Kendrick Nunn,15,2,2019-2020,3.0,3,3.0,MIA,80,Jimmy Butler,,,,,,,,,,,,,38:06,Bam Adebayo,38:03,Goran Dragić,34:07,Kelly Olynyk,29:59,Duncan Robinson,24:28,Tyler Herro,23:30,James Johnson,14:34,Meyers Leonard,12:03,Chris Silva,2:06
4,.500,8,50.000,5,1.25,108,0,2,66.7,6,.375,2.0,25.0,8.0,16,4,.800,5,31.250,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911120MIA.html,Home,117,36:39,1,33.3,DET,Luke Kennard,Svi Mykhailiuk,5:46,,,,,,,,,,,37:57,Bruce Brown,35:30,Langston Galloway,28:39,Andre Drummond,27:39,Christian Wood,26:21,Tony Snell,23:38,Markieff Morris,21:01,Thon Maker,20:21,Tim Frazier,13:08,108,2,20,4.0,20.0,12.0,60.0,4.0,20.0,Kendrick Nunn,9,2,2019-2020,2.0,4,3.0,MIA,117,Jimmy Butler,,,,,,,,,,,,,38:57,Goran Dragić,32:55,Duncan Robinson,29:17,Kelly Olynyk,29:08,Bam Adebayo,27:40,Meyers Leonard,18:14,Chris Silva,15:21,Daryl Macon,6:50,Udonis Haslem,4:59
