3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,100.000,0,,108,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101030CHI.html,Away,118,0:18,0,,CHI,Zach LaVine,,,,,,,,,,,,,38:40,Coby White,32:50,Otto Porter Jr.,28:38,Thaddeus Young,28:26,Patrick Williams,28:24,Garrett Temple,25:20,Wendell Carter Jr.,22:50,Daniel Gafford,19:05,Denzel Valentine,15:47,118,0,0,0.0,,0.0,,0.0,,Nate Hinton,10,0,2020-2021,0.0,0,0.0,DAL,108,Jalen Brunson,Boban Marjanović,7:09,Josh Green,0:18,Tyrell Terry,0:16,,,,,,,37:30,Josh Richardson,35:51,Dorian Finney-Smith,35:43,Tim Hardaway Jr.,33:04,Maxi Kleber,28:35,Dwight Powell,20:13,Trey Burke,17:17,James Johnson,12:02,Willie Cauley-Stein,11:44
0,,0,,0,,104,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101130CHO.html,Away,93,1:15,0,,CHO,Terry Rozier,Vernon Carey Jr.,1:15,Jalen McDaniels,1:15,Malik Monk,1:15,,,,,,,36:22,Devonte' Graham,36:01,P.J. Washington,32:19,Miles Bridges,28:44,Gordon Hayward,26:48,LaMelo Ball,25:25,Bismack Biyombo,24:39,Caleb Martin,14:51,Cody Martin,11:06,93,0,0,0.0,,0.0,,0.0,,Nate Hinton,11,0,2020-2021,0.0,0,0.0,DAL,104,Luka Dončić,Tyler Bey,1:15,Tyrell Terry,1:15,,,,,,,,,34:48,Tim Hardaway Jr.,33:26,Trey Burke,32:23,Willie Cauley-Stein,29:46,Wes Iwundu,26:12,James Johnson,25:34,Kristaps Porziņģis,21:03,Josh Green,18:03,Boban Marjanović,15:00
0,,0,0.000,0,,117,0,0,,0,.000,0.0,0.0,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101170DAL.html,Home,101,6:08,0,,CHI,Lauri Markkanen,Daniel Gafford,13:08,,,,,,,,,,,32:56,Zach LaVine,31:18,Garrett Temple,28:46,Wendell Carter Jr.,26:33,Coby White,25:18,Otto Porter Jr.,23:03,Patrick Williams,22:35,Thaddeus Young,19:28,Ryan Arcidiacono,16:55,117,0,0,0.0,,0.0,,0.0,,Nate Hinton,16,0,2020-2021,0.0,0,0.0,DAL,101,Luka Dončić,Tyler Bey,1:57,,,,,,,,,,,37:30,Kristaps Porziņģis,33:22,Josh Green,32:11,Wes Iwundu,30:26,Trey Burke,28:42,Willie Cauley-Stein,27:06,James Johnson,20:49,Tyrell Terry,15:21,Boban Marjanović,6:28
0,,0,,0,0.00,93,1,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101180TOR.html,Away,116,2:04,0,,TOR,Kyle Lowry,Paul Watson,2:04,Matt Thomas,2:04,DeAndre' Bembry,2:04,Malachi Flynn,2:04,Yuta Watanabe,2:04,,,35:07,Pascal Siakam,33:50,Fred VanVleet,33:32,OG Anunoby,32:54,Chris Boucher,27:40,Norman Powell,22:27,Stanley Johnson,21:13,Terence Davis,11:44,Aron Baynes,11:13,116,0,0,0.0,,0.0,,0.0,,Nate Hinton,23,1,2020-2021,2.0,1,0.0,DAL,93,Luka Dončić,Boban Marjanović,3:20,Tyrell Terry,3:20,Tyler Bey,2:04,,,,,,,34:34,Kristaps Porziņģis,31:53,Jalen Brunson,27:24,James Johnson,27:20,Tim Hardaway Jr.,26:41,Trey Burke,26:06,Willie Cauley-Stein,19:23,Josh Green,19:03,Wes Iwundu,16:48
0,.000,2,28.571,0,0.00,133,0,0,,2,.286,2.0,40.0,5.0,7,1,.500,2,28.571,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101230DAL.html,Home,108,7:19,0,,HOU,Eric Gordon,Sterling Brown,18:02,Rodions Kurucs,5:27,Brodric Thomas,5:07,,,,,,,30:15,DeMarcus Cousins,29:48,David Nwaba,26:53,P.J. Tucker,24:48,John Wall,20:42,Ben McLemore,20:26,KJ Martin,20:15,Jae'Sean Tate,19:41,Mason Jones,18:36,133,1,5,4.0,80.0,0.0,0.0,1.0,20.0,Nate Hinton,25,0,2020-2021,0.0,1,0.0,DAL,108,Jalen Brunson,Tyrell Terry,12:00,Tyler Bey,7:19,,,,,,,,,32:57,Tim Hardaway Jr.,30:35,Luka Dončić,29:28,Trey Burke,23:48,Wes Iwundu,22:49,Josh Green,20:00,Boban Marjanović,19:17,Willie Cauley-Stein,18:16,James Johnson,16:12
1,.500,2,100.000,0,,104,0,0,,1,.500,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101270UTA.html,Away,116,1:34,0,,UTA,Rudy Gobert,Udoka Azubuike,1:34,Jarrell Brantley,1:34,Shaquille Harrison,1:34,,,,,,,37:29,Bojan Bogdanović,35:50,Royce O'Neale,34:59,Jordan Clarkson,32:54,Joe Ingles,30:20,Mike Conley,29:38,Georges Niang,13:06,Juwan Morgan,10:31,Miye Oni,10:31,116,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Nate Hinton,12,0,2020-2021,0.0,0,0.0,DAL,104,Tim Hardaway Jr.,Wes Iwundu,4:27,Willie Cauley-Stein,3:03,Tyrell Terry,1:34,Josh Green,1:34,Boban Marjanović,1:34,,,34:05,Luka Dončić,33:51,Kristaps Porziņģis,31:47,Dorian Finney-Smith,24:11,Josh Richardson,23:45,James Johnson,22:15,Jalen Brunson,22:03,Trey Burke,21:07,Dwight Powell,13:10
0,.000,1,33.333,2,2.00,132,0,1,100.0,2,.667,2.0,100.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202103210POR.html,Away,92,8:57,0,0.0,POR,Robert Covington,Anfernee Simons,12:00,CJ Elleby,12:00,Harry Giles,12:00,,,,,,,31:11,Damian Lillard,29:36,CJ McCollum,23:58,Carmelo Anthony,21:33,Gary Trent Jr.,21:32,Nassir Little,21:28,Derrick Jones Jr.,20:12,Rodney Hood,18:58,Enes Freedom,15:32,92,0,4,4.0,100.0,0.0,0.0,0.0,0.0,Nate Hinton,40,1,2020-2021,1.0,1,1.0,DAL,132,Luka Dončić,Josh Green,9:36,Trey Burke,8:34,Tyler Bey,6:52,Boban Marjanović,5:03,,,,,29:36,Josh Richardson,29:31,Dorian Finney-Smith,28:07,Maxi Kleber,25:28,Kristaps Porziņģis,25:02,Jalen Brunson,19:03,Tim Hardaway Jr.,18:51,Dwight Powell,13:20,Wes Iwundu,12:00
0,,0,,1,1.00,128,0,1,100.0,0,,0.0,,0.0,0,1,.500,2,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202103240MIN.html,Away,108,2:16,0,0.0,MIN,Anthony Edwards,Jarrett Culver,7:49,,,,,,,,,,,37:15,Juancho Hernangómez,35:16,Karl-Anthony Towns,33:36,Ricky Rubio,30:30,Jaden McDaniels,28:34,Jaylen Nowell,24:40,Naz Reid,14:24,Jake Layman,14:03,Jarred Vanderbilt,13:53,108,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Nate Hinton,20,0,2020-2021,0.0,1,1.0,DAL,128,Maxi Kleber,Tyler Bey,2:16,Josh Green,2:16,,,,,,,,,32:50,Josh Richardson,31:06,Jalen Brunson,29:34,Kristaps Porziņģis,28:40,Dorian Finney-Smith,28:36,Tim Hardaway Jr.,27:23,Luka Dončić,27:03,Dwight Powell,19:20,Trey Burke,8:40
0,,0,0.000,1,,109,0,1,100.0,0,.000,0.0,0.0,1.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202103260DAL.html,Home,94,3:34,0,0.0,IND,Caris LeVert,Goga Bitadze,10:41,Brian Bowen,1:38,Aaron Holiday,1:38,JaKarr Sampson,1:38,Cassius Stanley,1:38,,,34:41,Domantas Sabonis,34:10,Myles Turner,33:23,Malcolm Brogdon,28:50,T.J. McConnell,24:15,Justin Holiday,21:06,Edmond Sumner,17:15,Doug McDermott,15:06,Jeremy Lamb,14:01,109,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Nate Hinton,15,0,2020-2021,0.0,0,1.0,DAL,94,Kristaps Porziņģis,Tyler Bey,3:34,,,,,,,,,,,37:32,Josh Richardson,35:59,Jalen Brunson,33:50,Dorian Finney-Smith,33:16,Maxi Kleber,32:07,Tim Hardaway Jr.,23:34,Trey Burke,17:34,Dwight Powell,10:28,Josh Green,8:32
0,,0,0.000,0,,127,0,0,,2,1.000,2.0,100.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202103290OKC.html,Away,106,5:51,0,,OKC,Isaiah Roby,,,,,,,,,,,,,34:03,Aleksej Pokusevski,33:57,Ty Jerome,29:56,Moses Brown,29:38,Théo Maledon,28:29,Svi Mykhailiuk,27:16,Josh Hall,21:43,Kenrich Williams,20:50,Tony Bradley,14:07,106,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Nate Hinton,21,2,2020-2021,2.0,0,0.0,DAL,127,Luka Dončić,Trey Burke,12:42,Nicolò Melli,11:27,Tyler Bey,5:14,Boban Marjanović,5:14,,,,,27:39,Kristaps Porziņģis,27:26,Dorian Finney-Smith,27:05,Josh Richardson,24:49,Maxi Kleber,21:14,Tim Hardaway Jr.,20:32,Jalen Brunson,19:27,Josh Green,16:00,Dwight Powell,15:19
