3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
2,.333,6,66.667,6,3.00,108,1,1,100.0,2,.222,0.0,0.0,3.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710190LAL.html,Away,92,21:27,0,0.0,LAL,Brandon Ingram,Alex Caruso,12:13,Andrew Bogut,11:06,Tyler Ennis,9:50,,,,,,,30:31,Larry Nance Jr.,29:30,Lonzo Ball,29:21,Brook Lopez,28:44,Jordan Clarkson,22:31,Kyle Kuzma,18:42,Julius Randle,17:58,Corey Brewer,16:26,Luol Deng,13:08,92,2,6,0.0,0.0,6.0,100.0,0.0,0.0,Miloš Teodosić,16,0,2017-2018,1.0,2,1.0,LAC,108,Blake Griffin,Sindarius Thornwell,3:24,Montrezl Harrell,3:17,,,,,,,,,33:52,Danilo Gallinari,33:03,DeAndre Jordan,31:40,Austin Rivers,26:26,Lou Williams,24:41,Patrick Beverley,24:07,Wesley Johnson,19:49,Willie Reed,13:03,Sam Dekker,5:11
1,1.000,1,33.333,2,2.00,88,0,0,,2,.667,1.0,50.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710210LAC.html,Home,130,10:31,0,,PHO,Devin Booker,Troy Daniels,9:52,Tyler Ulis,7:49,Derrick Jones Jr.,6:10,Alec Peters,3:48,,,,,31:47,Josh Jackson,28:59,Alex Len,24:29,Mike James,24:24,Tyson Chandler,23:39,Eric Bledsoe,23:36,T.J. Warren,21:10,Dragan Bender,18:45,Marquese Chriss,15:32,88,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Miloš Teodosić,42,0,2017-2018,0.0,1,0.0,LAC,130,Austin Rivers,Montrezl Harrell,7:29,Sindarius Thornwell,6:38,Brice Johnson,6:10,,,,,,,32:55,Danilo Gallinari,29:54,DeAndre Jordan,27:41,Blake Griffin,27:31,Patrick Beverley,26:11,Lou Williams,24:13,Wesley Johnson,14:13,Sam Dekker,13:44,Willie Reed,12:50
2,.222,9,75.000,0,0.00,91,0,6,85.7,4,.333,2.0,66.7,3.0,12,2,1.000,2,16.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201712110LAC.html,Home,96,20:32,1,14.3,TOR,DeMar DeRozan,Norman Powell,11:46,Lorenzo Brown,2:02,,,,,,,,,36:07,Kyle Lowry,35:14,Serge Ibaka,32:58,Jonas Valančiūnas,27:44,OG Anunoby,26:23,Fred VanVleet,23:31,C.J. Miles,18:05,Pascal Siakam,13:19,Jakob Poeltl,12:51,91,3,12,4.0,33.3,6.0,50.0,2.0,16.7,Miloš Teodosić,5,0,2017-2018,0.0,1,7.0,LAC,96,Lou Williams,Jamil Wilson,9:10,,,,,,,,,,,35:44,Austin Rivers,32:42,DeAndre Jordan,32:40,Sam Dekker,27:15,Sindarius Thornwell,22:42,Wesley Johnson,19:53,Montrezl Harrell,15:32,Jawun Evans,14:34,C.J. Williams,9:16
2,.400,5,55.556,6,3.00,106,1,6,100.0,2,.222,0.0,0.0,4.0,9,2,1.000,2,22.222,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201712130ORL.html,Away,95,25:26,0,0.0,ORL,Jonathon Simmons,Jamel Artis,0:59,Khem Birch,0:59,Adreian Payne,0:59,,,,,,,38:38,Mario Hezonja,34:59,Wes Iwundu,32:59,Elfrid Payton,31:06,Nikola Vučević,30:33,Shelvin Mack,21:21,D.J. Augustin,17:58,Bismack Biyombo,16:28,Marreese Speights,13:01,95,2,8,0.0,0.0,6.0,75.0,2.0,25.0,Miloš Teodosić,11,1,2017-2018,2.0,2,6.0,LAC,106,DeAndre Jordan,Sindarius Thornwell,7:09,,,,,,,,,,,36:25,Lou Williams,32:28,Sam Dekker,25:49,Jawun Evans,25:24,C.J. Williams,22:16,Jamil Wilson,22:11,Austin Rivers,17:48,Wesley Johnson,13:30,Montrezl Harrell,11:35
2,.200,10,71.429,5,5.00,85,0,4,66.7,5,.357,3.0,75.0,4.0,14,1,.500,2,14.286,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201712160MIA.html,Away,90,27:44,2,33.3,MIA,Josh Richardson,,,,,,,,,,,,,36:00,Kelly Olynyk,34:24,Dion Waiters,30:14,Goran Dragić,30:07,Bam Adebayo,28:14,Jordan Mickey,27:15,Tyler Johnson,24:11,Wayne Ellington,23:50,James Johnson,5:45,90,4,13,6.0,46.2,6.0,46.2,1.0,7.7,Miloš Teodosić,5,0,2017-2018,0.0,1,6.0,LAC,85,Lou Williams,Willie Reed,3:51,,,,,,,,,,,36:16,DeAndre Jordan,33:30,C.J. Williams,28:41,Jawun Evans,25:37,Jamil Wilson,23:49,Sam Dekker,18:56,Montrezl Harrell,15:53,Sindarius Thornwell,13:43,Wesley Johnson,12:02
1,.333,3,42.857,5,1.67,91,0,1,100.0,3,.429,2.0,50.0,4.0,7,1,.500,2,28.571,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201712180SAS.html,Away,109,27:34,0,0.0,SAS,LaMarcus Aldridge,Kawhi Leonard,15:40,Brandon Paul,12:59,Joffrey Lauvergne,3:52,,,,,,,32:13,Bryn Forbes,26:15,Rudy Gay,26:09,Tony Parker,22:48,Patty Mills,22:37,Pau Gasol,22:01,Dejounte Murray,19:51,Manu Ginóbili,19:16,Dāvis Bertāns,16:19,109,2,8,4.0,50.0,3.0,37.5,1.0,12.5,Miloš Teodosić,18,2,2017-2018,2.0,3,1.0,LAC,91,Austin Rivers,Brice Johnson,3:52,,,,,,,,,,,32:54,Jawun Evans,28:35,DeAndre Jordan,28:22,C.J. Williams,27:15,Jamil Wilson,27:10,Sam Dekker,19:02,Sindarius Thornwell,16:22,Montrezl Harrell,15:20,Willie Reed,13:35
2,.400,5,71.429,8,4.00,95,0,3,60.0,2,.286,0.0,0.0,2.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201712200LAC.html,Home,108,27:00,2,40.0,PHO,T.J. Warren,Mike James,11:16,Jared Dudley,8:05,Danuel House Jr.,7:45,,,,,,,33:22,Josh Jackson,30:00,Marquese Chriss,25:42,Dragan Bender,22:18,Tyson Chandler,22:14,Isaiah Canaan,22:03,Troy Daniels,21:46,Tyler Ulis,17:52,Alex Len,17:37,95,2,6,0.0,0.0,6.0,100.0,0.0,0.0,Miloš Teodosić,13,0,2017-2018,0.0,2,5.0,LAC,108,DeAndre Jordan,Sindarius Thornwell,1:14,,,,,,,,,,,30:36,Austin Rivers,29:21,C.J. Williams,28:52,Jamil Wilson,28:25,Lou Williams,28:05,Sam Dekker,19:05,Montrezl Harrell,18:06,Willie Reed,16:02,Jawun Evans,13:14
1,.200,5,55.556,4,1.33,112,0,1,100.0,4,.444,3.0,75.0,4.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201712230MEM.html,Away,115,32:19,0,0.0,MEM,Tyreke Evans,Deyonta Davis,4:14,,,,,,,,,,,38:28,Marc Gasol,34:58,Andrew Harrison,32:03,James Ennis III,27:35,Kobi Simmons,25:15,Chandler Parsons,25:00,Dillon Brooks,23:40,Jarell Martin,17:28,Brandan Wright,11:19,115,3,9,6.0,66.7,3.0,33.3,0.0,0.0,Miloš Teodosić,3,1,2017-2018,1.0,3,1.0,LAC,112,DeAndre Jordan,,,,,,,,,,,,,36:29,Lou Williams,34:33,Austin Rivers,33:07,C.J. Williams,31:50,Jamil Wilson,21:05,Sam Dekker,18:02,Montrezl Harrell,12:31,Willie Reed,10:30,Jawun Evans,9:34
2,.400,5,55.556,10,10.00,95,0,3,75.0,3,.333,1.0,25.0,4.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201712260LAC.html,Home,122,20:40,1,25.0,SAC,Malachi Richardson,Kosta Koufos,15:14,Georgios Papagiannis,7:55,,,,,,,,,30:40,Bogdan Bogdanović,28:52,George Hill,27:10,Willie Cauley-Stein,25:18,Justin Jackson,22:17,Frank Mason III,22:12,Garrett Temple,21:46,Zach Randolph,21:03,Buddy Hield,17:33,95,1,8,2.0,25.0,6.0,75.0,0.0,0.0,Miloš Teodosić,27,0,2017-2018,0.0,1,4.0,LAC,122,Lou Williams,Willie Reed,5:21,,,,,,,,,,,26:40,Jawun Evans,26:38,DeAndre Jordan,26:16,Austin Rivers,25:55,Sam Dekker,23:45,Sindarius Thornwell,22:05,C.J. Williams,22:02,Montrezl Harrell,21:44,Jamil Wilson,18:54
2,.286,7,87.500,7,2.33,121,0,3,60.0,3,.375,1.0,100.0,1.0,8,3,.750,4,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201712290LAL.html,Away,106,33:15,2,40.0,LAL,Kyle Kuzma,Andrew Bogut,5:04,Thomas Bryant,1:19,Ivica Zubac,1:19,,,,,,,36:49,Brandon Ingram,36:34,Jordan Clarkson,35:05,Kentavious Caldwell-Pope,33:45,Julius Randle,28:31,Josh Hart,22:00,Larry Nance Jr.,18:10,Corey Brewer,15:17,Alex Caruso,6:07,106,3,11,2.0,18.2,6.0,54.5,3.0,27.3,Miloš Teodosić,15,1,2017-2018,1.0,3,5.0,LAC,121,Blake Griffin,Sindarius Thornwell,1:25,,,,,,,,,,,32:10,DeAndre Jordan,31:41,Lou Williams,30:32,Austin Rivers,26:31,C.J. Williams,23:58,Sam Dekker,18:28,Montrezl Harrell,16:19,Jawun Evans,15:50,Wesley Johnson,9:51
2,.286,7,70.000,5,1.67,98,0,1,100.0,3,.300,1.0,33.3,3.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201712310LAC.html,Home,106,27:31,0,0.0,CHO,Dwight Howard,Johnny O'Bryant,13:51,,,,,,,,,,,34:09,Kemba Walker,33:26,Frank Kaminsky,30:36,Nicolas Batum,28:31,Jeremy Lamb,24:17,Treveon Graham,21:00,Michael Kidd-Gilchrist,20:48,Michael Carter-Williams,16:50,Marvin Williams,16:32,98,3,8,2.0,25.0,6.0,75.0,0.0,0.0,Miloš Teodosić,8,0,2017-2018,0.0,3,1.0,LAC,106,Lou Williams,,,,,,,,,,,,,37:03,DeAndre Jordan,36:15,C.J. Williams,33:50,Blake Griffin,33:07,Wesley Johnson,25:43,Sam Dekker,16:04,Jawun Evans,13:50,Montrezl Harrell,11:45,Sindarius Thornwell,4:52
3,.375,8,72.727,6,1.20,105,1,4,80.0,4,.364,1.0,33.3,3.0,11,2,1.000,2,18.182,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201801020LAC.html,Home,113,33:50,1,20.0,MEM,Tyreke Evans,Deyonta Davis,9:23,Brandan Wright,8:27,Kobi Simmons,2:42,,,,,,,36:41,Marc Gasol,36:23,James Ennis III,28:00,Mario Chalmers,25:21,JaMychal Green,21:58,Andrew Harrison,20:03,Jarell Martin,19:49,Dillon Brooks,17:33,Wayne Selden,13:40,105,3,13,2.0,15.4,9.0,69.2,2.0,15.4,Miloš Teodosić,8,0,2017-2018,1.0,5,5.0,LAC,113,Blake Griffin,Montrezl Harrell,5:10,,,,,,,,,,,35:56,Lou Williams,35:37,DeAndre Jordan,33:46,C.J. Williams,29:04,Wesley Johnson,15:54,Jawun Evans,13:52,Sam Dekker,12:34,Sindarius Thornwell,12:27,Willie Reed,11:50
0,.000,1,50.000,4,2.00,127,0,0,,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801040LAC.html,Home,117,9:22,0,,OKC,Russell Westbrook,,,,,,,,,,,,,38:05,Steven Adams,34:36,Paul George,34:33,Carmelo Anthony,31:26,Terrance Ferguson,31:20,Raymond Felton,20:48,Jerami Grant,20:28,Josh Huestis,14:55,Patrick Patterson,13:49,127,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Miloš Teodosić,10,0,2017-2018,0.0,2,0.0,LAC,117,DeAndre Jordan,Willie Reed,0:17,,,,,,,,,,,37:48,C.J. Williams,33:26,Blake Griffin,32:55,Lou Williams,31:55,Wesley Johnson,29:35,Jawun Evans,23:04,Sam Dekker,19:17,Sindarius Thornwell,11:34,Montrezl Harrell,10:47
2,.400,5,55.556,9,3.00,121,0,1,100.0,4,.444,2.0,50.0,4.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201801110SAC.html,Away,115,25:32,0,0.0,SAC,George Hill,,,,,,,,,,,,,35:13,Buddy Hield,31:33,Bogdan Bogdanović,30:54,De'Aaron Fox,29:22,Zach Randolph,26:41,Kosta Koufos,24:54,Willie Cauley-Stein,23:09,Skal Labissière,21:06,Garrett Temple,17:08,115,2,10,4.0,40.0,6.0,60.0,0.0,0.0,Miloš Teodosić,6,0,2017-2018,0.0,3,1.0,LAC,121,Tyrone Wallace,,,,,,,,,,,,,36:37,Lou Williams,34:39,Blake Griffin,32:53,Montrezl Harrell,27:04,Wesley Johnson,24:44,Jawun Evans,22:28,Sam Dekker,15:07,DeAndre Jordan,10:54,Willie Reed,10:02
3,.600,5,83.333,5,5.00,105,0,1,100.0,4,.667,1.0,100.0,1.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201801130LAC.html,Home,126,23:15,0,0.0,SAC,De'Aaron Fox,Vince Carter,14:27,Justin Jackson,6:26,,,,,,,,,35:21,Willie Cauley-Stein,32:31,Garrett Temple,26:11,Bogdan Bogdanović,25:28,Skal Labissière,21:40,Buddy Hield,21:28,George Hill,19:26,Zach Randolph,19:16,Kosta Koufos,17:46,105,4,11,2.0,18.2,9.0,81.8,0.0,0.0,Miloš Teodosić,21,0,2017-2018,0.0,1,1.0,LAC,126,Lou Williams,,,,,,,,,,,,,35:23,Tyrone Wallace,32:03,Blake Griffin,28:39,Willie Reed,26:03,Jawun Evans,24:45,Wesley Johnson,23:34,Montrezl Harrell,21:57,Sam Dekker,19:21,Sindarius Thornwell,5:00
4,.667,6,85.714,6,2.00,102,0,6,100.0,4,.571,0.0,0.0,1.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201801150LAC.html,Home,113,29:09,0,0.0,HOU,Chris Paul,R.J. Hunter,1:03,,,,,,,,,,,34:33,Eric Gordon,34:10,Trevor Ariza,33:58,Clint Capela,28:06,Luc Mbah a Moute,26:01,Ryan Anderson,25:15,Gerald Green,24:23,P.J. Tucker,21:54,Tarik Black,10:37,102,2,12,0.0,0.0,12.0,100.0,0.0,0.0,Miloš Teodosić,11,1,2017-2018,1.0,3,6.0,LAC,113,Lou Williams,,,,,,,,,,,,,39:32,Blake Griffin,34:37,Tyrone Wallace,33:10,Montrezl Harrell,32:16,Wesley Johnson,30:54,Jawun Evans,20:28,Willie Reed,9:51,Sam Dekker,9:46,Sindarius Thornwell,0:17
3,.429,7,77.778,5,1.67,104,0,4,100.0,5,.556,2.0,100.0,2.0,9,2,1.000,2,22.222,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201801170LAC.html,Home,109,31:24,0,0.0,DEN,Gary Harris,Kenneth Faried,6:43,,,,,,,,,,,35:47,Will Barton,34:57,Nikola Jokić,34:04,Wilson Chandler,32:55,Mason Plumlee,30:38,Trey Lyles,24:34,Emmanuel Mudiay,15:06,Richard Jefferson,15:05,Malik Beasley,10:11,104,2,15,4.0,26.7,9.0,60.0,2.0,13.3,Miloš Teodosić,5,3,2017-2018,3.0,3,4.0,LAC,109,Blake Griffin,,,,,,,,,,,,,36:28,Lou Williams,35:59,Tyrone Wallace,31:38,Montrezl Harrell,30:56,Wesley Johnson,29:00,Willie Reed,16:34,Jawun Evans,15:51,Sam Dekker,11:32,Sindarius Thornwell,0:38
2,.250,8,72.727,4,1.33,113,0,2,100.0,3,.273,1.0,33.3,3.0,11,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801200UTA.html,Away,125,31:32,0,0.0,UTA,Donovan Mitchell,Royce O'Neale,12:29,,,,,,,,,,,35:49,Joe Ingles,32:53,Derrick Favors,31:40,Ricky Rubio,31:11,Rudy Gobert,28:06,Joe Johnson,22:15,Alec Burks,18:19,Raul Neto,14:09,Jonas Jerebko,13:09,125,4,8,2.0,25.0,6.0,75.0,0.0,0.0,Miloš Teodosić,12,0,2017-2018,0.0,3,2.0,LAC,113,Lou Williams,,,,,,,,,,,,,40:01,Tyrone Wallace,39:24,Blake Griffin,37:40,Wesley Johnson,27:03,Jawun Evans,18:50,Montrezl Harrell,18:28,Willie Reed,12:29,Sam Dekker,8:39,Sindarius Thornwell,5:55
3,.500,6,66.667,6,2.00,126,0,3,100.0,5,.556,2.0,66.7,3.0,9,2,1.000,2,22.222,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801220LAC.html,Home,118,27:56,0,0.0,MIN,Andrew Wiggins,Aaron Brooks,0:07,,,,,,,,,,,41:02,Taj Gibson,38:11,Nemanja Bjelica,34:48,Jeff Teague,34:18,Karl-Anthony Towns,32:38,Marcus Georges-Hunt,21:12,Gorgui Dieng,15:22,Tyus Jones,13:45,Shabazz Muhammad,8:37,126,4,15,4.0,26.7,9.0,60.0,2.0,13.3,Miloš Teodosić,8,1,2017-2018,1.0,3,3.0,LAC,118,Blake Griffin,,,,,,,,,,,,,36:42,Lou Williams,35:38,Tyrone Wallace,31:44,Montrezl Harrell,31:25,Wesley Johnson,30:00,Sindarius Thornwell,18:55,Willie Reed,16:22,Sam Dekker,11:18,,
0,.000,3,50.000,6,3.00,113,0,2,66.7,1,.167,1.0,33.3,3.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801240LAC.html,Home,102,24:20,1,33.3,BOS,Jayson Tatum,Abdel Nader,7:17,Jarell Eddie,2:04,,,,,,,,,33:30,Jaylen Brown,28:29,Kyrie Irving,28:17,Marcus Morris,27:42,Aron Baynes,24:43,Terry Rozier,23:59,Shane Larkin,23:17,Daniel Theis,23:09,Semi Ojeleye,17:33,113,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Miloš Teodosić,11,0,2017-2018,0.0,2,3.0,LAC,102,Wesley Johnson,,,,,,,,,,,,,34:39,Blake Griffin,33:57,Tyrone Wallace,33:51,Lou Williams,33:00,DeAndre Jordan,30:30,Montrezl Harrell,17:30,Sindarius Thornwell,16:06,Sam Dekker,14:03,Willie Reed,2:04
